Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2005,1,,12,FrRnd,12,Reds,Y,"$1,800,000 ",Jay Bruce (minors),OF,19.9,1650,5964,319,0.244,0.781,,,,,,,HS,"West Brook HS (Beaumont, TX)"
2005,1,,13,FrRnd,13,Orioles,Y,"$1,700,000 ",Brandon Snyder (minors),C,-0.1,122,200,9,0.24,0.731,,,,,,,HS,"Westfield HS (Chantilly, VA)"
2005,1,,14,FrRnd,14,Indians,Y,"$1,695,000 ",Trevor Crowe (minors),OF,0.2,265,818,4,0.24,0.615,,,,,,,4Yr,"University of Arizona (Tucson, AZ)"
2005,1,,15,FrRnd,15,White Sox,Y,"$1,570,000 ",Lance Broadway (minors),RHP,0.3,8,0,0,,,27,2,2,5.24,1.6,0,4Yr,"Texas Christian University (Fort Worth, TX)"
2005,1,,16,FrRnd,16,Marlins,Y,"$1,600,000 ",Chris Volstad (minors),RHP,2,130,201,0,0.139,0.317,170,37,58,5,1.45,0,HS,"Palm Beach Gardens HS (Palm Beach Gardens, FL)"
2005,1,,17,FrRnd,17,Yankees via Phillies,Y,"$1,575,000 ",*C.J. Henry (minors),SS,,,,,,,,,,,,,HS,"Putnam City HS (Oklahoma City, OK)"
2005,1,,18,FrRnd,18,Padres,Y,"$1,550,000 ",Cesar Carrillo (minors),RHP,-0.7,3,3,0,0,0,3,1,2,13.06,2.71,0,4Yr,"University of Miami (Coral Gables, FL)"
2005,1,,19,FrRnd,19,Rangers,Y,"$1,525,000 ",John Mayberry (minors),OF,1.5,574,1386,56,0.235,0.72,,,,,,,4Yr,"Stanford University (Palo Alto, CA)"
2005,1,,20,FrRnd,20,Cubs,Y,"$1,750,000 ",Mark Pawelek (minors),LHP,,,,,,,,,,,,,HS,"Springville HS (Springville, UT)"
2005,1,,21,FrRnd,21,Athletics,Y,"$1,475,000 ",Cliff Pennington (minors),SS,10.1,971,2799,36,0.242,0.648,1,0,0,9,3,0,4Yr,"Texas A&M University (College Station, TX)"
2005,1,,22,FrRnd,22,Marlins via Giants,Y,"$1,225,000 ",*Aaron Thompson (minors),LHP,-0.1,10,0,0,,,52,1,3,4.94,1.52,0,HS,"Second Baptist School (Houston, TX)"
2005,1,,23,FrRnd,23,Red Sox via Angels,Y,"$1,400,000 ",*Jacoby Ellsbury (minors),OF,31.2,1235,4846,104,0.284,0.76,,,,,,,4Yr,"Oregon State University (Corvallis, OR)"
2005,1,,24,FrRnd,24,Astros,Y,"$1,375,000 ",Brian Bogusevic (minors),LHP,2.1,321,748,19,0.238,0.684,1,0,0,18,3,0,4Yr,"Tulane University (New Orleans, LA)"
2005,1,,25,FrRnd,25,Twins,Y,"$1,350,000 ",Matt Garza (minors),RHP,12.5,152,274,0,0.08,0.201,290,93,106,4.09,1.32,1,4Yr,"California State University, Fresno (Fresno, CA)"
2005,1,,26,FrRnd,26,Red Sox via Dodgers,Y,"$1,325,000 ",*Craig Hansen (minors),RHP,-1.9,27,0,0,,,95,4,9,6.34,1.72,3,4Yr,"St. John's University (Queens, NY)"
2005,1,,27,FrRnd,27,Braves,Y,"$1,300,000 ",Joey Devine (minors),RHP,2,30,1,0,0,0,93,8,3,2.75,1.25,1,4Yr,"North Carolina State University (Raleigh, NC)"
2005,1,,28,FrRnd,28,Cardinals via Red Sox,Y,"$1,000,000 ",*Colby Rasmus (minors),OF,20.2,1092,3704,166,0.241,0.745,,,,,,,HS,"Russell County HS (Seale, AL)"
2005,1,,29,FrRnd,29,Marlins via Yankees,Y,"$1,000,000 ",*Jacob Marceaux (minors),RHP,,,,,,,,,,,,,4Yr,"McNeese State University (Lake Charles, LA)"
2005,1,,30,FrRnd,30,Cardinals,Y,"$1,100,000 ",Tyler Greene (minors),SS,-0.4,288,675,17,0.224,0.645,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
2005,1s,,31,FrRnd,31,Diamondbacks,Y,"$1,025,000 ",*Matt Torra (minors),RHP,,,,,,,,,,,,,4Yr,"University of Massachusetts Amherst (Amherst, MA)"
2005,1s,,32,FrRnd,32,Rockies,Y,"$1,025,000 ",*Chaz Roe (minors),RHP,1.2,62,1,0,0,0,245,11,8,3.89,1.34,3,HS,"Lafayette HS (Lexington, KY)"
2005,1s,,33,FrRnd,33,Indians,Y,"$1,000,000 ",*Johnny Drennen (minors),OF,,,,,,,,,,,,,HS,"Rancho Bernardo HS (San Diego, CA)"
2005,1s,,34,FrRnd,34,Marlins,Y,"$975,000 ",*Ryan Tucker (minors),RHP,-1.3,11,7,0,0,0,18,2,3,8.14,1.88,0,HS,"Temple City HS (Temple City, CA)"
2005,1s,,35,FrRnd,35,Padres,Y,"$950,000 ",*Cesar Ramos (minors),LHP,1.4,43,6,0,0,0,267,10,15,4.02,1.4,2,4Yr,"California State University, Long Beach (Long Beach, CA)"
2005,1s,,36,FrRnd,36,Athletics,Y,"$950,000 ",*Travis Buck (minors),OF,2.8,253,810,20,0.243,0.715,,,,,,,4Yr,"Arizona State University (Tempe, AZ)"
2005,1s,,37,FrRnd,37,Angels,Y,"$925,000 ",*Trevor Bell (minors),RHP,-1.2,8,1,0,0,0,54,4,8,5.57,1.76,0,HS,"Crescenta Valley HS (La Crescenta, CA)"
2005,1s,,38,FrRnd,38,Astros,Y,"$900,000 ",*Eli Iorg (minors),OF,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)"
2005,1s,,39,FrRnd,39,Twins,Y,"$900,000 ",*Hank Sanchez (minors),1B,,,,,,,,,,,,,HS,"Mission Bay HS (San Diego, CA)"
2005,1s,,40,FrRnd,40,Dodgers,N,,*Luke Hochevar (minors),RHP,3.7,18,16,0,0.063,0.125,279,46,65,4.98,1.34,3,4Yr,"University of Tennessee (Knoxville, TN)"
2005,1s,,41,FrRnd,41,Braves,Y,"$825,000 ",*Beau Jones (minors),LHP,,,,,,,,,,,,,HS,"Destrehan HS (Destrehan, LA)"
2005,1s,,42,FrRnd,42,Red Sox,Y,"$800,000 ",*Clay Buchholz (minors),RHP,16.8,29,46,0,0.087,0.234,236,90,69,3.98,1.3,0,JC,"Angelina College (Lufkin, TX)"
2005,1s,,43,FrRnd,43,Cardinals,Y,"$800,000 ",*Mark McCormick (minors),RHP,,,,,,,,,,,,,4Yr,"Baylor University (Waco, TX)"
2005,1s,,44,FrRnd,44,Marlins,Y,"$775,000 ",*Sean West (minors),LHP,-0.1,21,34,0,0.059,0.147,22,8,8,5.03,1.58,0,HS,"Captain Shreve HS (Shreveport, LA)"
2005,1s,,45,FrRnd,45,Red Sox,Y,"$762,000 ",*Jed Lowrie (minors),2B,16,1303,4599,121,0.257,0.737,,,,,,,4Yr,"Stanford University (Palo Alto, CA)"
2005,1s,,46,FrRnd,46,Cardinals,Y,"$675,000 ",*Tyler Herron (minors),RHP,,,,,,,,,,,,,HS,"Wellington Community HS (Wellington, FL)"
2005,1s,,47,FrRnd,47,Red Sox,Y,"$730,000 ",*Michael Bowden (minors),RHP,0.8,64,2,0,0,0,103,3,5,4.51,1.4,0,HS,"Waubonsie Valley HS (Aurora, IL)"
2005,1s,,48,FrRnd,48,Orioles,Y,"$650,000 ",*Garrett Olson (minors),LHP,-2.7,11,6,0,0.167,0.31,104,14,22,6.26,1.67,1,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)"
