Year,Rnd,DT,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1977,1,,FrRnd,1,White Sox,Y,"$32,000 ",Harold Baines (minors),1B,38.8,2830,9908,384,0.289,0.82,,,,,,,HS,"St. Michaels HS (St. Michaels, MD)"
1976,1,,FrRnd,1,Astros,Y,"$100,000 ",Floyd Bannister (minors),LHP,26.4,55,80,0,0.175,0.383,431,134,143,4.06,1.33,0,4Yr,"Arizona State University (Tempe, AZ)"
1975,1,,FrRnd,1,Angels,Y,"$125,000 ",Danny Goodwin (minors),C,-1.7,252,636,13,0.236,0.674,,,,,,,4Yr,"Southern University and A&M College (Baton Rouge, LA)"
1974,1,,FrRnd,1,Padres,Y,"$90,000 ",Bill Almon (minors),SS,4.7,1236,3330,36,0.254,0.648,,,,,,,4Yr,"Brown University (Providence, RI)"
1973,1,,FrRnd,1,Rangers,Y,"$65,000 ",David Clyde (minors),LHP,0.6,1,0,0,,,84,18,33,4.63,1.53,0,HS,"Westchester HS (Houston, TX)"
1972,1,,FrRnd,1,Padres,Y,"$70,000 ",Dave Roberts (minors),3B,0.3,709,2017,49,0.24,0.644,,,,,,,4Yr,"University of Oregon (Eugene, OR)"
1971,1,,FrRnd,1,White Sox,N,,Danny Goodwin (minors),C,-1.7,252,636,13,0.236,0.674,,,,,,,HS,"Peoria Central HS (Peoria, IL)"
1970,1,,FrRnd,1,Padres,Y,"$75,000 ",Mike Ivie (minors),C,7.3,857,2694,81,0.269,0.744,,,,,,,HS,"Walker HS (Atlanta, GA)"
1969,1,,FrRnd,1,Senators,Y,"$88,000 ",Jeff Burroughs (minors),OF,17.7,1689,5536,240,0.261,0.795,,,,,,,HS,"Woodrow Wilson HS (Long Beach, CA)"
1968,1,,FrRnd,1,Mets,Y,"$74,000 ",Tim Foli (minors),SS,5.7,1696,6047,25,0.251,0.593,,,,,,,HS,"Notre Dame HS (Sherman Oaks, CA)"
1967,1,,FrRnd,1,Yankees,Y,"$65,000 ",Ron Blomberg (minors),1B,9.4,461,1333,52,0.293,0.832,,,,,,,HS,"Druid Hills HS (Atlanta, GA)"
1966,1,,FrRnd,1,Mets,Y,"$75,000 ",Steven Chilcott (minors),C,,,,,,,,,,,,,HS,"Antelope Valley HS (Lancaster, CA)"
1965,1,,FrRnd,1,Athletics,Y,"$100,000 ",Rick Monday (minors),OF,33.1,1986,6136,241,0.264,0.804,,,,,,,4Yr,"Arizona State University (Tempe, AZ)"
