Year,Rnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2003,1,16,Marlins,Y,1850000.0,Jeff Allison,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Veterans Memorial HS (Peabody, MA)",1
2003,1,20,Expos,Y,1350000.0,Chad Cordero,RHP,7.3,314.0,20.0,15.0,2.89,1.21,128.0,4Yr,"California State University, Fullerton (Fullerton, CA)",0
2003,1,22,Giants ,Y,1425000.0,David Aardsma,RHP,1.8,331.0,16.0,18.0,4.27,1.42,69.0,4Yr,"Rice University (Houston, TX)",1
2003,1,24,Dodgers,Y,1375000.0,Chad Billingsley,RHP,17.2,226.0,83.0,64.0,3.72,1.37,0.0,HS,"Defiance HS (Defiance, OH)",0
2003,1,25,Athletics,Y,1360000.0,Brad Sullivan,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Houston (Houston, TX)",1
2003,1,31,Indians,Y,1025000.0,Adam Miller,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"McKinney HS (McKinney, TX)",0
2003,1,34,Giants,Y,975000.0,Craig Whitaker,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Lufkin HS (Lufkin, TX)",1
2003,1,35,Braves,Y,950000.0,Luis Atilano,RHP,-0.9,16.0,6.0,7.0,5.15,1.49,0.0,HS,"Gabriela Mistral HS (San Juan, Puerto Rico)",1
2004,1,2,Tigers,Y,3120000.0,Justin Verlander,RHP,74.1,469.0,236.0,132.0,3.29,1.12,0.0,4Yr,"Old Dominion University (Norfolk, VA)",0
2004,1,3,Mets,Y,3000000.0,Philip Humber,RHP,0.9,97.0,16.0,23.0,5.31,1.42,0.0,4Yr,"Rice University (Houston, TX)",0
2004,1,4,Devil Rays,Y,3200000.0,Jeff Niemann,RHP,4.3,97.0,40.0,26.0,4.08,1.29,0.0,4Yr,"Rice University (Houston, TX)",0
