year,league_id,team_id,franchise_id,div_id,rank,g,ghome,w,l,div_win,wc_win,lg_win,ws_win,r,ab,h,double,triple,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,team_id_br,team_id_lahman45,team_id_retro,make_playoffs_wild_card,make_playoffs_win_division,make_playoffs_win_league,make_playoffs_win_worldseries,make_playoffs
2001,NL,CIN,CIN,C,5,162,81.0,66,96,N,N,N,N,735,5583,1464,304,22,176,468,1172.0,103.0,54.0,65.0,40.0,850,765,4.77,2,2,35,4328,1572,198,515,943,138,136.0,0.978,Cincinnati Reds,Cinergy Field,1879757.0,105,105,CIN,CIN,CIN,False,False,False,False,False
2001,AL,CLE,CLE,C,1,162,80.0,91,71,Y,N,N,N,897,5600,1559,294,37,212,577,1076.0,79.0,41.0,69.0,62.0,821,746,4.64,3,4,42,4340,1512,148,573,1218,107,137.0,0.982,Cleveland Indians,Jacobs Field,3175523.0,100,100,CLE,CLE,CLE,False,True,False,False,True
2001,NL,COL,COL,W,5,162,81.0,73,89,N,N,N,N,923,5690,1663,324,61,213,511,1027.0,132.0,54.0,61.0,50.0,906,841,5.29,8,8,26,4290,1522,239,598,1058,96,167.0,0.984,Colorado Rockies,Coors Field,3166821.0,122,122,COL,COL,COL,False,False,False,False,False
2001,AL,DET,DET,C,4,162,81.0,66,96,N,N,N,N,724,5537,1439,291,60,139,466,972.0,133.0,61.0,51.0,49.0,876,795,5.01,16,2,34,4288,1624,180,553,859,131,164.0,0.979,Detroit Tigers,Comerica Park,1921305.0,93,95,DET,DET,DET,False,False,False,False,False
2001,NL,FLO,FLA,E,4,162,80.0,76,86,N,N,N,N,742,5542,1461,325,30,166,470,1145.0,89.0,40.0,67.0,45.0,744,691,4.32,5,11,32,4314,1397,151,617,1119,103,174.0,0.983,Florida Marlins,Pro Player Stadium,1261226.0,97,97,FLA,FLO,FLO,False,False,False,False,False
2001,NL,HOU,HOU,C,1,162,81.0,93,69,Y,N,N,N,847,5528,1500,313,29,208,581,1119.0,64.0,49.0,89.0,56.0,769,707,4.37,7,6,48,4364,1453,221,486,1228,110,138.0,0.982,Houston Astros,Enron Field,2904277.0,107,106,HOU,HOU,HOU,False,True,False,False,True
2001,AL,KCA,KCR,C,5,162,81.0,65,97,N,N,N,N,729,5643,1503,277,37,152,406,898.0,100.0,42.0,44.0,47.0,858,779,4.87,5,1,30,4320,1537,209,576,911,117,204.0,0.981,Kansas City Royals,Kauffman Stadium,1536371.0,107,108,KCR,KCA,KCA,False,False,False,False,False
2001,NL,LAN,LAD,W,3,162,81.0,86,76,N,N,N,N,758,5493,1399,264,27,206,519,1062.0,89.0,42.0,56.0,44.0,744,685,4.25,3,5,46,4352,1387,184,524,1212,116,138.0,0.981,Los Angeles Dodgers,Dodger Stadium,3017143.0,92,91,LAD,LAN,LAN,False,False,False,False,False
2001,NL,MIL,MIL,C,4,162,81.0,68,94,N,N,N,N,740,5488,1378,273,30,209,488,1399.0,66.0,36.0,72.0,35.0,806,740,4.64,3,8,28,4309,1452,197,667,1057,103,156.0,0.983,Milwaukee Brewers,Miller Park,2811041.0,98,99,MIL,ML4,MIL,False,False,False,False,False
2001,AL,MIN,MIN,C,2,162,81.0,85,77,N,N,N,N,771,5560,1514,328,38,164,495,1083.0,146.0,67.0,64.0,38.0,766,722,4.51,12,8,45,4324,1494,192,445,965,108,118.0,0.982,Minnesota Twins,Hubert H Humphrey Metrodome,1782929.0,102,102,MIN,MIN,MIN,False,False,False,False,False
