Name,Year,OvPck,RdPck,Rnd,Tm,Pos,FrRnd,Signed,Bonus,WAR,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of
*Ben Fritz(minors),2002,30,30,1,Athletics via Cardinals,RHP,FrRnd,Y,"$1,200,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"California State University, Fresno (Fresno, CA)"
*Greg Miller(minors),2002,31,31,1s,Dodgers,LHP,FrRnd,Y,"$1,200,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Esperanza HS (Anaheim, CA)"
*Luke Hagerty(minors),2002,32,32,1s,Cubs,LHP,FrRnd,Y,"$1,150,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Ball State University (Muncie, IN)"
*Dan Meyer(minors),2002,34,34,1s,Braves,LHP,FrRnd,Y,"$1,000,000 ",-0.9,103.0,3.0,9.0,5.46,1.55,2.0,4Yr,"James Madison University (Harrisonburg, VA)"
*Chadd Blasko(minors),2002,36,36,1s,Cubs,RHP,FrRnd,Y,"$1,050,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Purdue University (West Lafayette, IN)"
*Steve Obenchain(minors),2002,37,37,1s,Athletics,RHP,FrRnd,Y,"$750,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Evansville (Evansville, IN)"
*Matt Clanton(minors),2002,38,38,1s,Cubs,RHP,FrRnd,Y,"$875,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,"Orange Coast College (Costa Mesa, CA)"
Kyle Sleeth(minors),2003,3,3,1,Tigers,RHP,FrRnd,Y,"$3,350,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Wake Forest University (Winston-Salem, NC)"
Tim Stauffer(minors),2003,4,4,1,Padres,RHP,FrRnd,Y,"$750,000 ",3.8,201.0,33.0,34.0,3.97,1.33,0.0,4Yr,"University of Richmond (Richmond, VA)"
Paul Maholm(minors),2003,8,8,1,Pirates,LHP,FrRnd,Y,"$2,200,000 ",11.9,273.0,77.0,100.0,4.3,1.4,0.0,4Yr,"Mississippi State University (Mississippi State, MS)"
John Danks(minors),2003,9,9,1,Rangers,LHP,FrRnd,Y,"$2,100,000 ",20.2,247.0,79.0,104.0,4.38,1.35,0.0,HS,"Round Rock HS (Round Rock, TX)"
Ryan Wagner(minors),2003,14,14,1,Reds,RHP,FrRnd,Y,"$1,400,000 ",-0.3,148.0,11.0,9.0,4.79,1.59,0.0,4Yr,"University of Houston (Houston, TX)"
Jeff Allison(minors),2003,16,16,1,Marlins,RHP,FrRnd,Y,"$1,850,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Veterans Memorial HS (Peabody, MA)"
Chad Cordero(minors),2003,20,20,1,Expos,RHP,FrRnd,Y,"$1,350,000 ",7.3,314.0,20.0,15.0,2.89,1.21,128.0,4Yr,"California State University, Fullerton (Fullerton, CA)"
*David Aardsma(minors),2003,22,22,1,Giants via Astros,RHP,FrRnd,Y,"$1,425,000 ",1.8,331.0,16.0,18.0,4.27,1.42,69.0,4Yr,"Rice University (Houston, TX)"
Chad Billingsley(minors),2003,24,24,1,Dodgers,RHP,FrRnd,Y,"$1,375,000 ",17.2,226.0,83.0,64.0,3.72,1.37,0.0,HS,"Defiance HS (Defiance, OH)"
Brad Sullivan(minors),2003,25,25,1,Athletics,RHP,FrRnd,Y,"$1,360,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Houston (Houston, TX)"
*Adam Miller(minors),2003,31,31,1s,Indians,RHP,FrRnd,Y,"$1,025,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"McKinney HS (McKinney, TX)"
*Craig Whitaker(minors),2003,34,34,1s,Giants,RHP,FrRnd,Y,"$975,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Lufkin HS (Lufkin, TX)"
*Luis Atilano(minors),2003,35,35,1s,Braves,RHP,FrRnd,Y,"$950,000 ",-0.9,16.0,6.0,7.0,5.15,1.49,0.0,HS,"Gabriela Mistral HS (San Juan, Puerto Rico)"
David Price(minors),2007,1,1,1,Devil Rays,LHP,FrRnd,Y,"$5,600,000 ",39.6,379.0,155.0,82.0,3.33,1.16,1.0,4Yr,"Vanderbilt University (Nashville, TN)"
Daniel Moskos(minors),2007,4,4,1,Pirates,LHP,FrRnd,Y,"$2,475,000 ",0.2,31.0,1.0,1.0,2.96,1.56,0.0,4Yr,"Clemson University (Clemson, SC)"
Ross Detwiler(minors),2007,6,6,1,Nationals,LHP,FrRnd,Y,"$2,150,000 ",0.4,293.0,30.0,51.0,4.56,1.46,1.0,4Yr,"Missouri State University (Springfield, MO)"
Casey Weathers(minors),2007,8,8,1,Rockies,RHP,FrRnd,Y,"$1,800,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Vanderbilt University (Nashville, TN)"
Jarrod Parker(minors),2007,9,9,1,Diamondbacks,RHP,FrRnd,Y,"$2,100,000 ",6.5,62.0,25.0,16.0,3.68,1.24,0.0,HS,"Norwell HS (Ossian, IN)"
Madison Bumgarner(minors),2007,10,10,1,Giants,LHP,FrRnd,Y,"$2,000,000 ",39.7,341.0,131.0,114.0,3.33,1.13,0.0,HS,"South Caldwell HS (Hudson, NC)"
Phillippe Aumont(minors),2007,11,11,1,Mariners,RHP,FrRnd,Y,"$1,900,000 ",-0.7,46.0,1.0,6.0,6.8,1.99,2.0,HS,"Ecole Du Versant (Gatineau, QC)"
*Blake Beavan(minors),2007,17,17,1,Rangers via Astros,RHP,FrRnd,Y,"$1,497,000 ",1.7,54.0,16.0,20.0,4.61,1.27,0.0,HS,"Irving HS (Irving, TX)"
Joe Savery(minors),2007,19,19,1,Phillies,LHP,FrRnd,Y,"$1,372,500 ",-0.1,44.0,3.0,2.0,3.83,1.26,0.0,4Yr,"Rice University (Houston, TX)"
*Chris Withrow(minors),2007,20,20,1,Dodgers via Red Sox,RHP,FrRnd,Y,"$1,350,000 ",1.4,92.0,6.0,0.0,3.07,1.14,1.0,HS,"Midland HS (Midland, TX)"
*Tim Alderson(minors),2007,22,22,1,Giants via Dodgers,RHP,FrRnd,Y,"$1,290,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Horizon HS (Scottsdale, AZ)"
Nick Schmidt(minors),2007,23,23,1,Padres,LHP,FrRnd,Y,"$1,260,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Arkansas (Fayetteville, AR)"
*Michael Main(minors),2007,24,24,1,Rangers via Angels,RHP,FrRnd,Y,"$1,237,500 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"DeLand HS (DeLand, FL)"
Aaron Poreda(minors),2007,25,25,1,White Sox,LHP,FrRnd,Y,"$1,200,000 ",0.2,40.0,3.0,1.0,4.67,1.73,0.0,4Yr,"University of San Francisco (San Francisco, CA)"
James Simmons(minors),2007,26,26,1,Athletics,RHP,FrRnd,Y,"$1,192,500 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of California, Riverside (Riverside, CA)"
