Name,Year,OvPck,RdPck,Rnd,Tm,Pos,DT,FrRnd,Signed,Bonus,WAR,G,AB,HR,BA,OPS,Type,Drafted Out of
*Bryce Brentz(minors),2010,36,36,1s,Red Sox,LF,0.0,FrRnd,Y,"$889,200 ",0.0,34.0,87.0,1.0,0.287,0.69,4Yr,"Middle Tennessee State University (Murfreesboro, TN)"
*Taylor Lindsey(minors),2010,37,37,1s,Angels,SS,0.0,FrRnd,Y,"$873,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Desert Mountain HS (Scottsdale, AZ)"
*Ryan Bolden(minors),2010,40,40,1s,Angels,CF,0.0,FrRnd,Y,"$829,800 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Madison Central HS (Madison, MS)"
*Drew Vettleson(minors),2010,42,42,1s,Rays,RF,0.0,FrRnd,Y,"$845,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Central Kitsap HS (Silverdale, WA)"
*Nick Castellanos(minors),2010,44,44,1s,Tigers,3B,0.0,FrRnd,Y,"$3,450,000 ",11.6,1167.0,4424.0,176.0,0.276,0.805,HS,"Archbishop McCarthy HS (Southwest Ranches, FL)"
*Mike Olt(minors),2010,49,49,1s,Rangers,3B,0.0,FrRnd,Y,"$717,300 ",-1.7,135.0,352.0,16.0,0.168,0.58,4Yr,"University of Connecticut (Storrs, CT)"
Carlos Correa(minors),2012,1,1,1,Astros,SS,0.0,FrRnd,Y,"$4,800,000 ",36.0,812.0,3054.0,142.0,0.278,0.836,HS,"Puerto Rico Baseball Academy (Gurabo, Puerto Rico)"
Byron Buxton(minors),2012,2,2,1,Twins,OF,0.0,FrRnd,Y,"$6,000,000 ",18.9,555.0,1845.0,92.0,0.246,0.775,HS,"Appling County HS (Baxley, GA)"
Mike Zunino(minors),2012,3,3,1,Mariners,C,0.0,FrRnd,Y,"$4,000,000 ",10.1,850.0,2674.0,146.0,0.2,0.681,4Yr,"University of Florida (Gainesville, FL)"
Albert Almora(minors),2012,6,6,1,Cubs,OF,0.0,FrRnd,Y,"$3,900,000 ",2.7,580.0,1429.0,33.0,0.264,0.69,HS,"Mater Academy Charter School (Hialeah, FL)"
David Dahl(minors),2012,10,10,1,Rockies,OF,0.0,FrRnd,Y,"$2,600,000 ",0.6,327.0,1143.0,42.0,0.272,0.781,HS,"Oak Mountain HS (Birmingham, AL)"
Addison Russell(minors),2012,11,11,1,Athletics,SS,0.0,FrRnd,Y,"$2,625,000 ",11.3,615.0,1987.0,60.0,0.242,0.704,HS,"Pace HS (Pace, FL)"
Gavin Cecchini(minors),2012,12,12,1,Mets,SS,0.0,FrRnd,Y,"$2,300,000 ",-0.5,36.0,83.0,1.0,0.217,0.571,HS,"Alfred M. Barbe HS (Lake Charles, LA)"
Courtney Hawkins(minors),2012,13,13,1,White Sox,OF,0.0,FrRnd,Y,"$2,475,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Mary Carroll HS (Corpus Christi, TX)"
Tyler Naquin(minors),2012,15,15,1,Indians,OF,0.0,FrRnd,Y,"$1,750,000 ",4.0,491.0,1487.0,55.0,0.271,0.779,4Yr,"Texas A&M University (College Station, TX)"
D.J. Davis(minors),2012,17,17,1,Blue Jays,OF,0.0,FrRnd,Y,"$1,750,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Stone County HS (Wiggins, MS)"
Corey Seager(minors),2012,18,18,1,Dodgers,SS,0.0,FrRnd,Y,"$2,350,000 ",22.9,712.0,2719.0,119.0,0.289,0.853,HS,"Northwest Cabarrus HS (Concord, NC)"
James Ramsey(minors),2012,23,23,1,Cardinals,OF,0.0,FrRnd,Y,"$1,600,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Florida State University (Tallahassee, FL)"
Deven Marrero(minors),2012,24,24,1,Red Sox,SS,0.0,FrRnd,Y,"$2,050,000 ",-0.2,173.0,335.0,6.0,0.194,0.534,4Yr,"Arizona State University (Tempe, AZ)"
