Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2012,1s,,45,FrRnd,45,Pirates,Y,"$1,000,000 ",*Barrett Barnes (minors),OF,,,,,,,,,,,,,4Yr,"Texas Tech University (Lubbock, TX)",0
2012,1s,,46,FrRnd,46,Rockies,Y,"$1,000,000 ",*Eddie Butler (minors),RHP,-2.3,58,61,0,0.049,0.129,79,12,22,5.8,1.66,2,4Yr,"Radford University (Radford, VA)",0
2012,1s,,47,FrRnd,47,Athletics,Y,"$1,079,700 ",*Matt Olson (minors),1B,19.8,656,2357,154,0.252,0.853,,,,,,,HS,"Parkview HS (Lilburn, GA)",1
2012,1s,,48,FrRnd,48,White Sox,Y,"$950,000 ",*Keon Barnum (minors),1B,,,,,,,,,,,,,HS,"C. Leon King HS (Tampa, FL)",0
2012,1s,,49,FrRnd,49,Reds,Y,"$1,000,000 ",*Jesse Winker (minors),RF,5.2,492,1591,72,0.277,0.851,,,,,,,HS,"Olympia HS (Orlando, FL)",1
2012,1s,,50,FrRnd,50,Blue Jays,Y,"$2,000,000 ",*Matt Smoral (minors),LHP,,,,,,,,,,,,,HS,"Solon HS (Solon, OH)",0
2012,1s,,51,FrRnd,51,Dodgers,Y,"$984,700 ",*Jesmuel Valentin (minors),SS,-0.7,46,79,1,0.177,0.562,1,0,0,27,4,0,HS,"Puerto Rico Baseball Academy (Gurabo, Puerto Rico)",0
2012,1s,,52,FrRnd,52,Cardinals,Y,"$678,790 ",*Patrick Wisdom (minors),3B,3.3,225,690,49,0.229,0.794,,,,,,,4Yr,"Saint Mary's College of California (Moraga, CA)",1
2012,1s,,53,FrRnd,53,Rangers,Y,"$975,000 ",*Collin Wiles (minors),RHP,,,,,,,,,,,,,HS,"Blue Valley West HS (Stilwell, KS)",1
2012,1s,,54,FrRnd,54,Phillies,Y,"$940,200 ",*Mitch Gueller (minors),RHP,,,,,,,,,,,,,HS,"W. F. West HS (Chehalis, WA)",0
2012,1,,55,FrRnd,55,Padres,Y,"$2,000,000 ",*Walker Weickel (minors),RHP,,,,,,,,,,,,,HS,"Olympia HS (Orlando, FL)",0
2012,1s,,56,FrRnd,56,Cubs,Y,"$911,700 ",*Paul Blackburn (minors),RHP,2.4,2,5,0,0,0,46,12,14,4.64,1.36,0,HS,"Heritage HS (Brentwood, CA)",0
2012,1s,,57,FrRnd,57,Reds,Y,"$825,000 ",*Jeff Gelalich (minors),OF,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
2012,1s,,58,FrRnd,58,Blue Jays,Y,"$1,000,000 ",*Mitch Nay (minors),3B,,,,,,,,,,,,,HS,"Hamilton HS (Chandler, AZ)",0
2012,1s,,59,FrRnd,59,Cardinals,Y,"$700,000 ",*Steve Bean (minors),C,,,,,,,,,,,,,HS,"Rockwall HS (Rockwall, TX)",1
2012,1s,,60,FrRnd,60,Blue Jays,Y,"$750,000 ",*Tyler Gonzales (minors),RHP,,,,,,,,,,,,,HS,"James Madison HS (San Antonio, TX)",0
