,Year,RdPck,franchise_id,Name
633,2013,18,LAD,Chris Anderson
634,2013,25,SFG,Christian Arroyo
635,2013,5,CLE,Jackson Frazier
636,2013,12,SEA,D.J. Peterson
637,2013,6,FLA,Colin Moran
638,2013,35,FLA,Matt Krook
639,2013,11,NYM,Dominic Smith
640,2013,22,BAL,Hunter Harvey
641,2013,37,BAL,Josh Hart
642,2013,13,SDP,Hunter Renfroe
643,2013,16,PHI,J.P. Crawford
644,2013,9,PIT,Austin Meadows
645,2013,14,PIT,Reese McGuire
646,2013,23,TEX,Chi Chi Gonzalez
647,2013,30,TEX,Travis Demeritte
648,2013,21,TBD,Nick Ciuffo
649,2013,29,TBD,Ryne Stanek
650,2013,7,BOS,Trey Ball
651,2013,27,CIN,Phil Ervin
652,2013,38,CIN,Michael Lorenzen
653,2013,3,COL,Jon Gray
654,2013,8,KCR,Hunter Dozier
655,2013,34,KCR,Sean Manaea
656,2013,20,DET,Jonathon Crawford
657,2013,39,DET,Corey Knebel
658,2013,4,MIN,Kohl Stewart
659,2013,17,CHW,Tim Anderson
660,2013,26,NYY,Eric Jagielo
661,2013,32,NYY,Aaron Judge
662,2013,33,NYY,Ian Clarkin
663,2014,15,ANA,Sean Newcomb
664,2014,1,HOU,Brady Aiken
665,2014,37,HOU,Derek Fisher
666,2014,25,OAK,Matt Chapman
667,2014,9,TOR,Jeff Hoffman
668,2014,11,TOR,Max Pentecost
669,2014,32,ATL,Braxton Davidson
670,2014,12,MIL,Kodi Medeiros
671,2014,41,MIL,Jake Gatewood
672,2014,27,STL,Luke Weaver
673,2014,34,STL,Jack Flaherty
674,2014,4,CHC,Kyle Schwarber
675,2014,16,ARI,Touki Toussaint
676,2014,22,LAD,Grant Holmes
677,2014,14,SFG,Tyler Beede
678,2014,21,CLE,Bradley Zimmer
679,2014,31,CLE,Justus Sheffield
680,2014,38,CLE,Mike Papi
681,2014,6,SEA,Alex Jackson
682,2014,2,FLA,Tyler Kolek
683,2014,36,FLA,Blake Anderson
684,2014,10,NYM,Michael Conforto
685,2014,18,WSN,Erick Fedde
686,2014,13,SDP,Trea Turner
687,2014,7,PHI,Aaron Nola
688,2014,24,PIT,Cole Tucker
689,2014,39,PIT,Connor Joe
690,2014,30,TEX,Luis Ortiz
691,2014,20,TBD,Casey Gillaspie
692,2014,26,BOS,Michael Chavis
693,2014,33,BOS,Michael Kopech
694,2014,19,CIN,Nick Howard
695,2014,29,CIN,Alex Blandino
696,2014,8,COL,Kyle Freeland
697,2014,35,COL,Forrest Wall
698,2014,17,KCR,Brandon Finnegan
699,2014,28,KCR,Foster Griffin
700,2014,40,KCR,Chase Vallot
701,2014,23,DET,Derek Hill
702,2014,5,MIN,Nick Gordon
703,2014,3,CHW,Carlos Rodon
704,2015,26,ANA,Taylor Ward
705,2015,2,HOU,Alex Bregman
706,2015,5,HOU,Kyle Tucker
707,2015,37,HOU,Daz Cameron
708,2015,20,OAK,Richie Martin
709,2015,29,TOR,Jon Harris
710,2015,14,ATL,Kolby Allard
711,2015,28,ATL,Mike Soroka
712,2015,41,ATL,Austin Riley
713,2015,15,MIL,Trent Grisham
714,2015,40,MIL,Nathan Kirby
715,2015,23,STL,Nick Plummer
716,2015,39,STL,Jake Woodford
717,2015,9,CHC,Ian Happ
718,2015,1,ARI,Dansby Swanson
719,2015,24,LAD,Walker Buehler
720,2015,35,LAD,Kyle Funkhouser
721,2015,18,SFG,Phil Bickford
